Time [s],Channel 0,Channel 1
147.126901200,1,0
147.126909800,1,1
147.126927200,1,0
147.126935800,1,1
147.126953200,1,0
147.126979000,1,1
147.126996600,1,0
147.127005000,1,1
147.127022600,1,0
147.127031000,1,1
147.127065800,1,0
147.127074400,1,1
147.127091800,1,0
147.127100400,1,1
147.127117800,1,0
147.127135000,1,1
147.127143800,1,0
147.127161000,1,1
147.127187200,1,0
147.127195800,1,1
147.127213200,1,0
147.127230400,1,1
147.127256600,1,0
147.127265000,1,1
147.127282400,1,0
147.127291000,1,1
147.127308400,1,0
147.127386400,1,1
147.127429800,1,0
147.127438400,1,1
147.127447200,1,0
147.127455800,1,1
147.127464400,1,0
147.127507800,1,1
147.127525200,1,0
147.127533800,1,1
147.127551200,1,0
147.127568400,1,1
147.127594400,1,0
147.127603000,1,1
147.127620400,1,0
147.127637800,1,1
147.127646400,1,0
147.127655000,1,1
147.127663800,1,0
147.127698400,1,1
147.127715800,1,0
147.127724400,1,1
147.127733200,1,0
147.127776400,1,1
147.127785200,1,0
147.127793800,1,1
147.127811200,1,0
147.127819800,1,1
147.127837200,1,0
147.127871600,1,1
147.127880400,1,0
147.127889000,1,1
147.127932400,1,0
147.127975600,1,1
147.127993200,1,0
147.128010400,1,1
147.128027800,1,0
147.128036400,1,1
147.128045200,1,0
147.128062400,1,1
147.128088400,1,0
147.128105600,1,1
147.128123200,1,0
147.128131600,1,1
147.128140400,1,0
147.128149000,1,1
147.128157800,1,0
147.128166400,1,1
147.128183800,1,0
147.128201000,1,1
147.128218400,1,0
147.128227000,1,1
147.128235800,1,0
147.128261600,1,1
147.128279200,1,0
147.128296400,1,1
147.128313800,1,0
147.128322400,1,1
147.128357200,1,0
147.128365600,1,1
147.128374400,1,0
147.128391600,1,1
147.128426400,1,0
147.128435000,1,1
147.128443800,1,0
147.128469600,1,1
147.128487000,1,0
147.128504400,1,1
147.128521800,1,0
147.128530400,1,1
147.128547800,1,0
147.128565000,1,1
147.128582400,1,0
147.128599600,1,1
147.128617000,1,0
147.128695000,1,1
147.128712400,1,0
147.128721000,1,1
147.128747000,1,0
147.128790400,1,1
147.128807800,1,0
147.128816400,1,1
147.128825000,1,0
147.128885600,1,1
147.128903000,1,0
147.128981000,1,1
147.128998400,1,0
147.129033000,1,1
147.129041600,1,0
147.129076200,1,1
147.129093600,1,0
147.129102200,1,1
147.129111000,1,0
147.129171600,1,1
147.129189000,1,0
147.129197600,1,1
147.129215000,1,0
147.129266800,1,1
147.129301600,1,0
147.129310200,1,1
147.129319000,1,0
147.129336200,1,1
147.129345000,1,0
147.129379600,1,1
147.129397000,1,0
147.129405600,1,1
147.129414200,1,0
147.129474800,1,1
147.129492200,1,0
147.129500800,1,1
147.129518200,1,0
147.129570200,1,1
147.129587600,1,0
147.129604800,1,1
147.129613600,1,0
147.129622200,1,1
147.129631000,1,0
147.129665400,1,1
147.129683000,1,0
147.129691400,1,1
147.129700200,1,0
147.129760800,1,1
147.129778200,1,0
147.129856200,1,1
147.129873600,1,0
147.129882200,1,1
147.129899600,1,0
147.129908000,1,1
147.129916800,1,0
147.129951400,1,1
147.129968800,1,0
147.129977400,1,1
147.129986200,1,0
147.130046800,1,1
147.130064200,1,0
147.130142000,1,1
147.130176800,1,0
147.130202800,1,1
147.130220200,1,0
147.130254800,1,1
147.130272200,1,0
147.130280800,1,1
147.130289400,1,0
147.130350000,1,1
147.130367400,1,0
147.130384600,1,1
147.130393400,1,0
147.130410600,1,1
147.130419400,1,0
147.130445400,1,1
147.130462800,1,0
147.130471400,1,1
147.130480000,1,0
147.130488600,1,1
147.130506000,1,0
147.130540600,1,1
147.130558000,1,0
147.130566600,1,1
147.130584000,1,0
147.130601200,1,1
147.130627400,1,0
147.130636000,1,1
147.130653400,1,0
147.130662000,1,1
147.130670800,1,0
147.130679200,1,1
147.130696800,1,0
147.130731200,1,1
147.130748800,1,0
147.130766000,1,1
147.130783400,1,0
147.130792000,1,1
147.130809400,1,0
147.130826600,1,1
147.130844000,1,0
147.130878600,1,1
147.130904600,1,0
147.130922000,1,1
147.130939400,1,0
147.130974000,1,1
147.131000000,1,0
147.131017200,1,1
147.131034600,1,0
147.131077800,1,1
147.131095400,1,0
147.131112600,1,1
147.131130000,1,0
147.131173200,1,1
147.131190600,1,0
147.131207800,1,1
147.131225400,1,0
147.131233800,1,1
147.131242600,1,0
147.131268600,1,1
147.131286000,1,0
147.131303200,1,1
147.131320600,1,0
147.131363800,1,1
147.131381200,1,0
147.131398600,1,1
147.131433200,1,0
147.131476600,1,1
147.131494000,1,0
147.131511200,1,1
147.131528600,1,0
147.131537200,1,1
147.131546000,1,0
147.131571800,1,1
147.131589200,1,0
147.131606400,1,1
147.131624000,1,0
147.131632400,1,1
147.131650000,1,0
147.131667200,1,1
147.131684600,1,0
147.131701800,1,1
147.131719200,1,0
147.131736400,1,1
147.131753800,1,0
147.131762400,1,1
147.131779800,1,0
147.131797200,1,1
147.131814600,1,0
147.131823200,1,1
147.131831800,1,0
147.131849200,1,1
147.131875200,1,0
147.131892400,1,1
147.131909800,1,0
147.131987800,1,1
147.132005200,1,0
147.132013800,1,1
147.132048600,1,0
147.132083000,1,1
147.132100600,1,0
147.132109000,1,1
147.132126600,1,0
147.132143800,1,1
147.132169800,1,0
147.132178400,1,1
147.132195800,1,0
147.132213000,1,1
147.132230400,1,0
147.132273800,1,1
147.132308400,1,0
147.132351600,1,1
147.132369200,1,0
147.132386400,1,1
147.132403800,1,0
147.132421000,1,1
147.132447000,1,0
147.132455600,1,1
147.132464400,1,0
147.132481600,1,1
147.132559800,1,0
147.132594400,1,1
147.132620400,1,0
147.132637600,1,1
147.132655000,1,0
147.132672400,1,1
147.132698400,1,0
147.132707000,1,1
147.132715800,1,0
147.132733000,1,1
147.132750400,1,0
147.132767600,1,1
147.132785000,1,0
147.132793600,1,1
147.132811000,1,0
147.132828200,1,1
147.132845800,1,0
147.132923600,1,1
147.132941000,1,0
147.132958200,1,1
147.132967000,1,0
147.132984200,1,1
147.132993000,1,0
147.133019000,1,1
147.133036400,1,0
147.133045000,1,1
147.133062400,1,0
147.133079600,1,1
147.133105800,1,0
147.133114200,1,1
147.133131800,1,0
147.133149000,1,1
147.133166400,1,0
147.133209600,1,1
147.133227000,1,0
147.133270200,1,1
147.133287600,1,0
147.133305000,1,1
147.133322400,1,0
147.133339600,1,1
147.133365600,1,0
147.133374200,1,1
147.133383000,1,0
147.133400200,1,1
147.133443600,1,0
147.133452200,1,1
147.133469600,1,0
147.133486800,1,1
147.133504400,1,0
147.133521600,1,1
147.133539000,1,0
147.133556200,1,1
147.133582400,1,0
147.133590800,1,1
147.133599600,1,0
147.133616800,1,1
147.133634200,1,0
147.133642800,1,1
147.133660200,1,0
147.133677600,1,1
147.133695000,1,0
147.133712200,1,1
147.133729600,1,0
147.133807400,1,1
147.133825000,1,0
147.133902800,1,1
147.133937600,1,0
147.133972200,1,1
147.133998200,1,0
147.134006800,1,1
147.134032800,1,0
147.134058800,1,1
147.134067600,1,0
147.134102000,1,1
148.771165600,0,1
148.771182800,1,1
148.771252000,0,1
148.771260600,1,1
148.771338600,0,1
148.771364600,1,1
148.771373200,0,1
148.771416400,1,1
148.771425200,0,1
148.771503000,1,1
148.771511600,0,1
148.771529000,1,1
148.771537600,0,1
148.771589600,1,1
148.771598200,0,1
148.771615600,1,1
148.771624200,0,1
148.771676000,1,1
148.771684800,0,1
148.771762600,1,1
148.771771200,0,1
148.771780000,1,1
148.771797200,0,1
148.771805800,1,1
148.771840600,0,1
148.771849200,1,1
148.771857800,0,1
148.771866400,1,1
148.771875200,0,1
148.771883800,1,1
148.771901000,0,1
148.771909800,1,1
148.771927000,0,1
148.771935600,1,1
148.795444600,1,0
148.795461800,1,1
148.795539800,1,0
148.795548400,1,1
148.795652400,1,0
148.795661000,1,1
148.795687000,1,0
148.795730400,1,1
148.795747800,1,0
148.795825600,1,1
148.795843000,1,0
148.795851600,1,1
148.795860400,1,0
148.795869000,1,1
148.795886400,1,0
148.795920800,1,1
148.795938400,1,0
148.796016200,1,1
148.796033600,1,0
148.796050800,1,1
148.796059600,1,0
148.796111400,1,1
148.796146200,1,0
148.796154800,1,1
148.796163600,1,0
148.796224000,1,1
148.796241400,1,0
148.796258800,1,1
148.796267400,1,0
148.796319400,1,1
148.796336800,1,0
148.796414600,1,1
148.796432000,1,0
148.796510000,1,1
148.796527400,1,0
148.796544600,1,1
148.796553400,1,0
148.796605200,1,1
148.796622600,1,0
148.796631200,1,1
148.796640000,1,0
148.796700400,1,1
148.796718000,1,0
148.796743800,1,1
148.796752600,1,0
148.796795800,1,1
148.796813200,1,0
148.796821800,1,1
148.796839200,1,0
148.796891000,1,1
148.796908400,1,0
148.796917000,1,1
148.796925800,1,0
148.796986400,1,1
148.797021000,1,0
148.797029600,1,1
148.797047000,1,0
